SurveyID,Age,Gender,City,State,Monthly_Income_INR,Education_Level,Internet_Usage_Hours_per_Day,Preferred_E-commerce_Platform,Satisfaction_Score_1_to_5
SID-001,28,Male,Mumbai,Maharashtra,55000,Graduate,4,Amazon,4
SID-002,34,Female,Delhi,Delhi,65000,Post Graduate,5,Flipkart,5
SID-003,22,Male,Bangalore,Karnataka,40000,Graduate,6,Myntra,3
SID-004,45,Female,Chennai,Tamil Nadu,90000,PhD,3,Amazon,5
SID-005,30,Male,Hyderabad,Telangana,75000,Post Graduate,7,Flipkart,4
SID-006,25,Female,Pune,Maharashtra,45000,Graduate,5,Meesho,3
SID-007,52,Male,Kolkata,West Bengal,120000,Post Graduate,2,Amazon,4
SID-008,21,,Ahmedabad,Gujarat,30000,High School,8,Flipkart,2
SID-009,38,Female,Jaipur,Rajasthan,60000,Graduate,4,Myntra,4
SID-010,29,Male,Lucknow,Uttar Pradesh,50000,Graduate,6,Amazon,3
SID-011,150,Male,Mumbai,Maharashtra,85000,Post Graduate,3,Flipkart,5
SID-012,31,F,New Delhi,Delhi,70000,Graduate,5,Amazon,
SID-013,24,Male,BLR,Karnataka,52000,B.Tech,7,Myntra,4
SID-014,41,Female,chennai,Tamil Nadu,95000,PhD,2,amazon.in,5
SID-015,33,M,Hyderbad,Telangana,80000,Post Graduate,6,Flip kart,4
SID-016,27,Female,Pune,Maharashtra,48000,Graduate,4,Meesho,3
SID-017,49,Male,Kolkata,West Bengal,130000,Post-Graduate,3,Amazon,4
SID-018,23,Male,Ahmedabad,Gujarat,35000,Diploma,9,Flipcart,2
SID-019,Thirty-Five,Female,Jaipur,Rajasthan,62000,Graduate,5,Myntra,4
SID-020,26,Male,Lucknow,Uttar Pradesh,53000,Graduate,7,Amazon,3
SID-021,32,Female,Mumbai,Maharashtra,60000,Graduate,5,Flipkart,5
SID-022,39,Male,Delhi,Delhi,95000,Post Graduate,4,Amazon,4
SID-023,20,Female,Bangalore,Karnataka,38000, pursuing grad,8,Myntra,3
SID-024,47,Male,Chennai,Tamil Nadu,110000,PhD,2,Amazon,5
SID-025,36,Female,Hyderabad,Telangana,88000,Post Graduate,5,Flipkart,4
SID-026,29,Male,pune,Maharashtra,54000,Graduate,6,Meesho,
SID-027,55,Female,Kolkata,West Bengal,140000,PG,2,Amazon,4
SID-028,24,Male,Ahmedabad,Gujarat,40000,High School,10,Flipkart,2
SID-029,42,Female,Jaipur,Rajasthan,70000,Graduate,4,Myntra Fashion,4
SID-030,31,Male,LUCKNOW,Uttar Pradesh,58000,Graduate,5,Amazon,3
SID-031,28,Female,Mumbai,Maharashtra,55000,Graduate,4,Flipkart,4
SID-032,34,Male,Delhi,Delhi,65000,Post Graduate,5,Amazon,5
SID-033,22,Female,Bangalore,Karnataka,40000,Graduate,6,Myntra,3
SID-034,45,Male,Chennai,Tamil Nadu,90000,PhD,3,Amazon,5
SID-035,30,Female,Hyderabad,Telangana,75000,Post Graduate,7,Flipkart,4
SID-036,25,Male,Pune,Maharashtra,45000,Graduate,5,Meesho,3
SID-037,52,Female,Kolkata,West Bengal,120000,Post Graduate,2,Amazon,4
SID-038,21,Male,Ahmedabad,Gujarat,30000,High School,8,Flipkart,2
SID-039,38,Female,Jaipur,Rajasthan,60000,Graduate,4,Myntra,4
SID-040,29,Male,Lucknow,Uttar Pradesh,50000,Graduate,6,Amazon,3
SID-041,33,Female,Mumbai,Maharashtra,85000,Post Graduate,3,Flipkart,5
SID-042,31,Male,New Delhi,Delhi,70000,Graduate,5,Amazon,4
SID-043,24,Female,BLR,Karnataka,52000,B.Tech,7,Myntra,4
